Nombre,Region,Celular,Email,YaVoto,Documento
Hamish Coffey,1,3002677610,dantoran+11@gmail.com,False,11
Todd Barnett,1,3002677611,dantoran+12@gmail.com,False,12
Forrest Santana,1,3002677612,dantoran+13@gmail.com,False,13
Dominic Benton,1,3002677613,dantoran+14@gmail.com,False,14
Isaiah Henson,1,3002677614,dantoran+15@gmail.com,True,15
Declan Miles,1,3002677615,dantoran+12@gmail.com,False,16
Malachi Tanner,2,3002677616,dantoran+11@gmail.com,False,21
Armand Sexton,2,3002677617,dantoran+12@gmail.com,False,22
Dexter Mullins,2,3002677618,dantoran+11@gmail.com,False,23
Graham Walls,2,3002677619,dantoran+12@gmail.com,True,24
Beau Hester,2,3002677620,dantoran+11@gmail.com,True,25
Hayden Gardner,2,3002677621,dantoran+12@gmail.com,False,26
Michael Nichols,2,3002677622,dantoran+11@gmail.com,True,27
Giacomo Raymond,2,3002677623,dantoran+12@gmail.com,True,28
Emmanuel Woodard,3,3002677624,dantoran+11@gmail.com,False,31
Aidan Castillo,3,3002677625,dantoran+12@gmail.com,True,32
Cyrus Fitzpatrick,3,3002677626,dantoran+11@gmail.com,False,33
Chadwick Haley,3,3002677627,dantoran+12@gmail.com,True,34
Gregory Hampton,3,3002677628,dantoran+11@gmail.com,True,35
Hiram Obrien,3,3002677629,dantoran+12@gmail.com,False,36
